,Year,Sale Date,Sale Price,Property Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
18,2021,Sold 2021-03-13,"€ 336,580",Beacon Hill,1953,Yes,No,Detached,1-Storey,3,1,No
19,2021,Sold 2021-03-13,"€536,410.00",Beacon Hill,1930,Yes,No,Detached,1-Storey,3,2,No
20,2021,Sold 2021-03-13,"€356,950.00",Beacon Hill,1951,Yes,No,Detached,1-Storey,5,1,No
21,2021,Sold 2021-03-21,"€257,018.00",Oak Park,1974,No,No,Duplex,1-Storey,2,2,No
22,2021,Sold 2021-03-23,"€372,635.00",Broomhouse,1974,Yes,Yes,Detached,1-Storey,3,1,No
23,2021,Sold 2021-03-24,"€275,303.00",Rivermount,1906,Yes,Yes,Detached,2-Storey,4,2,No
24,2021,Sold 2021-03-24,"€ 216,213",Rivermount,1942,Yes,Yes,Bungalow,1-Storey,2,1,No
25,2021,Sold 2021-03-24,"€882,587.00",Porter Square,2018,Yes,No,Detached,1-Storey,3,2,No
26,2021,Sold 27 March 2021,"€1,062,757.00",Avoca,2018,Yes,Yes,Detached,2-Storey,3,2,No
27,2021,Sold 2021-03-30,"€370,458.00",Oak Park,1983,Yes,No,Detached,1-Storey,3,1,No
28,2021,Sold 2021-03-31,"€386,594.00",Porter Square,2016,Yes,Yes,Semi-Detached,2-Storey,2,2,No
29,2021,Sold 2021-04-03,"€361,740.00",Summerston,1977,Yes,Yes,Detached,1-Storey,2,1,No
30,2021,Sold 2021-04-03,"€415,124.00",Summerston,1990,Yes,Yes,Detached,2-Storey,3,1,No
31,2021,Sold 2021-04-04,"€302,604.00",Broomhouse,1973,Yes,No,Detached,1-Storey,3,1,Yes
32,2021,Sold 2021-04-06,"€265,736.00",Oak Park,1953,Yes,No,Bungalow,1-Storey,3,1,No
33,2021,Sold 2021-04-09,"€437,879.00",Oak Park,1982,Yes,Yes,Detached,1-Storey,2,1,No
34,2021,Sold 2021-04-13,"€365,592.00",Brookville,2001,Yes,Yes,Detached,1-Storey,3,1,YES
35,2021,Sold 2021-04-16,"€467,352.00",Broomhouse,1994,Yes,No,Detached,1.5-Storey,3,2,No
36,2021,Sold 2021-04-16,"€339,804.00",Broomhouse,1974,Yes,Yes,Detached,1-Storey,3,1,Yes
37,2021,Sold 2021-04-16,"€394,001.00",Oak Park,1972,Yes,Yes,Detached,1-Storey,2,1,Yes
38,2021,Sold 2021-04-20,"€411,910.00",Oak Park,1970,Yes,Yes,Detached,1-Storey,4,1,Yes
39,2021,Sold 2021-04-20,"€422,908.00",Oak Park,1973,Yes,Yes,Detached,1-Storey,3,1,No
40,2021,Sold 2021-04-21,"€322,764.00",Brookville,2006,Yes,Yes,Detached,1-Storey,3,1,No
41,2021,Sold 2021-04-23,"€487,606.00",Rivermount,1934,Yes,???,Detached,2-Storey,3,1,Yes
42,2021,Sold 2021-04-23,"€260,429.00",Rivermount,1968,No,No,Bungalow,1-Storey,1,1,NO
43,2021,Sold 2021-04-23,"€274,932.00",Rivermount,1935,No,Yes,Bungalow,1-Storey,2,1,Yes
44,2021,Sold 2021-04-29,"€311,138.00",Broomhouse,1985,Yes,Yes,Detached,1-Storey,3,1,Yes
45,2021,Sold 2021-04-29,"€371,263.00",Broomhouse,1989,Yes,Yes,Detached,1-Storey,3,1,Yes
46,2021,Sold 2021-04-29,"€340,759.00",Broomhouse,1979,Yes,Yes,Detached,1-Storey,3,1,Yes
47,2021,Sold 2021-05-01,"€619,935.00",Brookville,2005,Yes,Yes,Detached,2-Storey,3,2,Yes
48,2021,Sold 2021-05-01,"€320,247.00",Broomhouse,1978,Yes,Yes,Detached,1-Storey,3,1,No
49,2021,Sold 2021-05-01,"€327,119.00",Broomhouse,1965,Yes,Yes,Detached,1-Storey,3,1,Yes
50,2021,Sold 2021-05-01,"€564,404.00",Brookville,2019,Yes,No,Detached,2-Storey,5,3,No
51,2021,Sold 2021-05-02,"€357,619.00",Oak Park,1953,Yes,No,Detached,1-Storey,2,1,No
52,2021,Sold 2021-05-02,"€389,943.00",Oak Park,1969,Yes,Yes,Detached,1-Storey,3,1,No
53,2021,Sold 2021-05-02,"€196,891.00",Oak Park,Unknown,Yes,No,Duplex,1-Storey,2,2,No
54,2021,Sold 2021-05-03,"€296,013.00",Broomhouse,1978,Yes,No,Detached,1.5-Storey,3,1,No
55,2021,Sold 2021-05-03,"€606,658.00",Porter Square,2013,Yes,Yes,Detached,2-Storey,3,2,No
56,2021,Sold 04 May 2021,"€510,044.00",Beacon Hill,c1931,Yes,Yes,Detached,1-Storey,4,1,Yes
57,2021,Sold 2021-05-04,"€268,099.00",Beacon Hill,1924,Yes,Yes,Bungalow,1-Storey,2,2,Yes
58,2021,Sold 2021-05-04,"€186,044.00",Beacon Hill,1953,Yes,Yes,Bungalow,1-Storey,2,1,Yes
59,2021,Sold 2021-05-05,"€237,375.00",Summerston,1977,Yes,No,Bungalow,1-Storey,3,1,Yes
60,2021,Sold 2021-05-06,"€559,932.00",Beacon Hill,1935,Yes,Yes,Detached,1-Storey,3,1,NO
61,2021,Sold 2021-05-06,"€256,730.00",Beacon Hill,1938,Yes,Yes,Bungalow,1-Storey,2,1,Yes
62,2021,Sold 2021-05-07,"€440,380.00",Avoca,2007,???,Yes,Detached,2-Storey,3,2,No
63,2021,Sold 08 May 2021,"€266,414.00",Summerston,1949,No,No,Bungalow,1-Storey,3,1,No
64,2021,Sold 2021-05-08,"€ 194,957",Summerston,1943,Yes,No,Bungalow,1-Storey,3,1,Yes
65,2021,Sold 2021-05-08,"€ 169,335",Beacon Hill,c1943,Yes,Yes,Bungalow,1-Storey,1,1,No
66,2021,Sold 2021-05-08,"€373,053.00",Beacon Hill,Unknown,Yes,Yes,Detached,1-Storey,3,1,Yes
67,2021,Sold 2021-05-08,"€260,287.00",Summerston,1922,No,No,Terraced,2-Storey,3,1,No
68,2021,Sold 2021-05-09,"€299,737.00",Oak Park,1985,Yes,Yes,Detached,1-Storey,3,1,Yes
69,2021,Sold 2021-05-09,"€304,017.00",Oak Park,1962,Yes,No,Detached,1-Storey,3,1,No
70,2021,Sold 2021-05-10,"€493,876.00",Avoca,2005,Yes,???,Detached,2-Storey,3,2,No
71,2021,Sold 2021-05-10,"€274,502.00",Oak Park,Unknown,No,Yes,Bungalow,1-Storey,3,1,Yes
72,2021,Sold 2021-05-10,"€379,874.00",Avoca,1959,Yes,No,Detached,1-Storey,3,1,Yes
73,2021,Sold 2021-05-11,"€346,732.00",Oak Park,1965,Yes,No,Detached,1-Storey,2,1,No
74,2021,Sold 2021-05-12,"€649,587.00",Brookville,2007,Yes,No,Detached,1-Storey,3,2,Yes
75,2021,Sold 2021-05-12,"€514,103.00",Brookville,2018,Yes,Yes,Detached,1-Storey,2,2,Yes
76,2021,Sold 2021-05-14,"€564,440.00",Avoca,2020,Yes,???,End-of-Terrace,1-Storey,2,3,No
77,2021,Sold 2021-05-14,"€274,564.00",Oak Park,1983,Yes,Yes,Bungalow,1-Storey,3,1,Yes
78,2021,Sold 2021-05-15,"€330,842.00",Broomhouse,1973,Yes,Yes,Detached,1-Storey,3,1,Yes
79,2021,Sold 2021-05-17,"€1,103,862.00",Avoca,2020,Yes,Yes,Detached,2-Storey,3,2,No
80,2021,Sold 2021-05-17,"€484,691.00",Avoca,2016,Yes,Yes,Detached,2-Storey,3,2,No
81,2021,Sold 2021-05-17,"€ 299,173",Rivermount,1892,Yes,Yes,Detached,2-Storey,5,2,No
82,2021,Sold 2021-05-19,"€295,774.00",Broomhouse,1978,Yes,Yes,Detached,1.5-Storey,3,1,NO
83,2021,Sold 2021-05-19,"€ 339,705",Broomhouse,1954,Yes,Yes,Detached,1-Storey,2,2,NO
84,2021,Sold 2021-05-20,"€302,657.00",Summerston,2002,Yes,No,Duplex,1.5-Storey,3,1,No
85,2021,Sold 2021-05-20,"€370,712.00",Summerston,1973,Yes,Yes,Detached,1-Storey,3,1,YES
86,2021,Sold 2021-05-20,"€348,280.00",Oak Park,1961,Yes,No,Detached,1-Storey,2,1,No
87,2021,Sold 2021-05-22,"€254,167.00",Summerston,1922,Yes,Yes,Detached,2-Storey,2,1,Yes
88,2021,Sold 2021-05-22,"€330,302.00",Rivermount,1953,Yes,No,Detached,1-Storey,2,1,Yes
89,2021,Sold 2021-05-22,"€311,251.00",Summerston,1906,Yes,Yes,Detached,1-Storey,4,1,No
90,2021,Sold 2021-05-25,"€ 242,219",Summerston,1985,Yes,No,Duplex,1-Storey,4,2,Yes
91,2021,Sold 2021-05-25,"€ 254,230",Summerston,1922,Yes,Yes,Detached,2-Storey,2,1,Yes
92,2021,Sold 2021-05-25,"€205,260.00",Summerston,1939,No,No,Bungalow,1-Storey,2,1,Yes
93,2021,Sold 2021-05-26,"€384,165.00",Summerston,1988,Yes,No,Detached,1-Storey,3,1,No
94,2021,Sold 2021-05-27,"€726,404.00",Brookville,2010,Yes,Yes,Detached,2-Storey,4,2,Yes
95,2021,Sold 2021-05-29,"€563,085.00",Brookville,2010,Yes,Yes,Detached,2-Storey,3,2,No
96,2021,Sold 2021-05-30,"€755,944.00",Avoca,2011,Yes,No,Semi-Detached,1-Storey,2,1,Yes
97,2021,Sold 2021-05-30,"€414,767.00",Avoca,2008,Yes,No,Detached,2-Storey,3,2,Yes
98,2021,Sold 2021-05-30,"€778,579.00",Avoca,2015,Yes,Yes,Detached,2-Storey,4,2,Yes
99,2021,Sold 31 May 2021,"€331,641.00",Broomhouse,1980,Yes,Yes,Detached,1-Storey,3,1,Yes
100,2021,Sold 2021-06-01,"€331,965.00",Oak Park,1955,Yes,Yes,Detached,1-Storey,2,2,No
101,2021,Sold 2021-06-01,"€306,772.00",Oak Park,1970,Yes,No,Detached,1-Storey,2,1,NO
102,2021,Sold 2021-06-02,"€348,049.00",Oak Park,1968,Yes,Yes,Detached,1-Storey,3,1,Yes
103,2021,Sold 2021-06-02,"€332,820.00",Oak Park,1969,Yes,Yes,Detached,1-Storey,2,1,No
104,2021,Sold 2021-06-03,"€406,836.00",Oak Park,1977,Yes,No,Detached,1-Storey,3,1,YES
105,2021,Sold 2021-06-04,"€574,087.00",Porter Square,2006,Yes,Yes,Detached,2-Storey,3,2,No
106,2021,Sold 04 June 2021,"€690,647.00",Porter Square,2018,Yes,No,Detached,1-Storey,3,2,No
107,2021,Sold 04 June 2021,"€475,237.00",Porter Square,2016,Yes,Yes,Semi-D,2-Storey,3,3,No
108,2021,Sold 2021-06-05,"€342,722.00",Oak Park,2010,???,No,Semi-Detached,1.5-Storey,1,1,Yes
109,2021,Sold 2021-06-06,"€480,282.00",Oak Park,1972,Yes,Yes,Detached,1-Storey,3,1,Yes
110,2021,Sold 2021-06-06,"€363,950.00",Oak Park,1974,Yes,Yes,Detached,1-Storey,3,1,Yes
111,2021,Sold 2021-06-06,"€339,786.00",Oak Park,1968,Yes,No,Detached,1-Storey,2,1,Yes
112,2021,Sold 2021-06-07,"€798,172.00",Porter Square,2020,???,Yes,Detached,1-Storey,3,2,No
113,2021,Sold 2021-06-07,"€ 279,286",Oak Park,1983,Yes,???,Bungalow,1-Storey,2,1,Yes
114,2021,Sold 2021-06-07,"€644,119.00",Porter Square,2009,Yes,Yes,Detached,2-Storey,3,2,Yes
115,2021,Sold 2021-06-07,"€687,271.00",Porter Square,Unknown,Yes,Yes,Detached,2-Storey,3,2,Yes
116,2021,Sold 2021-06-07,"€ 306,206",Rivermount,1960,???,Yes,Detached,1-Storey,2,1,Yes
117,2021,Sold 13 June 2021,"€306,543.00",Summerston,1969,Yes,Yes,Detached,1-Storey,3,1,No
118,2021,Sold 13 June 2021,"€249,024.00",Summerston,1967,Yes,Yes,Bungalow,1-Storey,2,1,No
119,2021,Sold 2021-06-14,"€ 606,352",Brookville,2015,Yes,No,Detached,1-Storey,3,2,No
120,2021,Sold 2021-06-15,"€308,640.00",Rivermount,1934,Yes,Yes,Detached,1-Storey,2,2,No
121,2021,Sold 2021-06-15,"€399,652.00",Rivermount,1960,Yes,Yes,Detached,1-Storey,2,1,No
122,2021,Sold 2021-06-16,"€858,521.00",Porter Square,2015,Yes,Yes,Detached,1-Storey,3,2,No
123,2021,Sold 2021-06-17,"€373,429.00",Oak Park,1978,Yes,Yes,Detached,1-Storey,1,1,Yes
124,2021,Sold 17 June 2021,"€527,465.00",Avoca,2014,Yes,No,Detached,2-Storey,4,2,No
125,2021,Sold 2021-06-17,"€428,299.00",Avoca,2004,Yes,No,Detached,1.5-Storey,3,2,Yes
126,2021,Sold 2021-06-17,"€432,338.00",Oak Park,1976,Yes,Yes,Detached,2-Storey,4,1,No
127,2021,Sold 2021-06-17,"€462,938.00",Avoca,2007,Yes,Yes,Detached,1-Storey,3,2,No
128,2021,Sold 2021-06-20,"€ 441,716",Porter Square,2012,Yes,Yes,Semi-Detached,2-Storey,2,2,No
129,2021,Sold 2021-06-20,"€682,339.00",Porter Square,Unknown,Yes,No,Detached,1-Storey,3,2,No
130,2021,Sold 2021-06-22,"€ 984,598",Avoca,2016,Yes,Yes,Detached,2-Storey,4,2,Yes
131,2021,Sold 2021-06-22,"€1,180,795.00",Avoca,2013,Yes,Yes,Detached,2-Storey,4,2,No
132,2021,Sold 2021-06-22,"€216,541.00",Rivermount,1942,Yes,No,Bungalow,1-Storey,3,1,No
133,2021,Sold 2021-06-23,"€375,633.00",Oak Park,1970,Yes,Yes,Detached,1.5-Storey,3,1,Yes
134,2021,Sold 2021-06-25,"€438,418.00",Avoca,Unknown,Yes,No,Detached,2-Storey,3,2,No
135,2021,Sold 2021-06-25,"€ 516,044",Avoca,Unknown,Yes,No,Semi-Detached,1-Storey,2,2,No
136,2021,Sold 2021-06-25,"€409,228.00",Summerston,2017,Yes,No,Detached,1-Storey,2,1,Yes
137,2021,Sold 2021-06-26,"€336,633.00",Oak Park,1973,Yes,Yes,Detached,1-Storey,3,1,Yes
138,2021,Sold 2021-06-26,"€379,666.00",Oak Park,1954,Yes,Yes,Detached,2-Storey,3,1,No
139,2021,Sold 2021-06-27,"€369,933.00",Oak Park,1961,Yes,Yes,Detached,1-Storey,2,2,Yes
140,2021,Sold 2021-06-27,"€ 333,147",Oak Park,1970,Yes,Yes,Detached,1-Storey,2,1,No
141,2021,Sold 2021-06-27,"€267,003.00",Oak Park,1970,No,Yes,Bungalow,1-Storey,2,1,Yes
142,2021,Sold 2021-06-27,"€ 374,566",Porter Square,2010,Yes,Yes,End-of-Terrace,2-Storey,2,2,No
143,2021,Sold 2021-06-27,"€462,963.00",Porter Square,2011,Yes,Yes,Semi-Detached,2-Storey,2,2,No
144,2021,Sold 2021-06-28,"€655,874.00",Summerston,1962,Yes,Yes,Detached,1-Storey,4,2,Yes
145,2021,Sold 2021-06-29,"€314,740.00",Oak Park,1983,Yes,No,Detached,1-Storey,3,1,No
146,2021,Sold 2021-06-29,"€486,041.00",Oak Park,1984,Yes,Yes,Detached,2-Storey,4,1,No
147,2021,Sold 2021-06-29,"€334,723.00",Oak Park,1953,Yes,Yes,Detached,1-Storey,3,1,No
148,2021,Sold 2021-07-01,"€382,278.00",Oak Park,1974,Yes,Yes,Det.,1-Storey,3,1,No
149,2021,Sold 2021-07-01,"€331,040.00",Oak Park,1962,Yes,Yes,Detached,1-Storey,3,1,No
150,2021,Sold 2021-07-03,"€380,635.00",Oak Park,1976,???,Yes,Detached,1-Storey,3,1,No
151,2021,Sold 2021-07-03,"€353,244.00",Oak Park,1960,Yes,No,Duplex,2-Storey,4,2,Yes
152,2021,Sold 2021-07-05,"€320,977.00",Brookville,1987,Yes,Yes,Detached,1-Storey,3,1,Yes
153,2021,Sold 2021-07-05,"€778,800.00",Brookville,2014,Yes,Yes,Detached,1-Storey,3,2,No
154,2021,Sold 2021-07-05,"€699,813.00",Brookville,2007,Yes,???,Detached,2-Storey,4,2,No
155,2021,Sold 2021-07-06,"€ 304,924",Oak Park,1983,Yes,Yes,Detached,1-Storey,3,1,Yes
156,2021,Sold 2021-07-06,"€324,036.00",Oak Park,1972,Yes,Yes,Detached,1-Storey,3,1,No
157,2021,Sold 2021-07-08,"€675,363.00",Porter Square,2018,Yes,No,Detached,1-Storey,3,2,No
158,2021,Sold 2021-07-08,"€536,778.00",Porter Square,2020,Yes,No,Detached,2-Storey,3,2,No
159,2021,Sold 09 July 2021,"€587,732.00",Brookville,2015,Yes,Yes,Detached,2-Storey,4,2,No
160,2021,Sold 2021-07-09,"€586,527.00",Brookville,2001,Yes,Yes,Det.,2-Storey,3,2,Yes
161,2021,Sold 10 July 2021,"€341,301.00",Oak Park,1970,Yes,No,Detached,1-Storey,4,1,No
162,2021,Sold 2021-07-10,"€233,158.00",Oak Park,1962,Yes,No,Duplex,1-Storey,3,2,No
163,2021,Sold 2021-07-10,"€ 274,903",Rivermount,c1932,Yes,Yes,Bungalow,1-Storey,2,1,No
164,2021,Sold 2021-07-10,"€372,664.00",Oak Park,1970,Yes,No,Detached,1-Storey,3,1,No
165,2021,Sold 2021-07-12,"€251,650.00",Rivermount,1935,Yes,???,Bungalow,1-Storey,2,1,No
166,2021,Sold 2021-07-12,"€364,558.00",Oak Park,1973,No,No,Duplex,1-Storey,5,2,No
167,2021,Sold 2021-07-12,"€263,822.00",Rivermount,c1935,Yes,Yes,Bungalow,1-Storey,2,1,No
168,2021,Sold 2021-07-13,"€339,791.00",Beacon Hill,1941,Yes,Yes,Detached,1-Storey,2,1,No
169,2021,Sold 2021-07-13,"€356,861.00",Beacon Hill,1939,Yes,Yes,Detached,1-Storey,3,1,No
170,2021,Sold 2021-07-14,"€360,430.00",Oak Park,1966,Yes,No,Detached,1-Storey,3,1,Yes
171,2021,Sold 2021-07-14,"€ 269,143",Oak Park,1971,Yes,No,Bungalow,1-Storey,3,1,Yes
172,2021,Sold 2021-07-14,"€408,951.00",Oak Park,1973,Yes,Yes,Detached,1-Storey,2,1,Yes
173,2021,Sold 2021-07-16,"€291,091.00",Oak Park,1970,Yes,No,Detached,1-Storey,2,1,No
174,2021,Sold 2021-07-16,"€276,438.00",Rivermount,1952,Yes,Yes,Bungalow,1-Storey,2,1,Yes
175,2021,Sold 2021-07-21,"€332,155.00",Rivermount,1918,Yes,No,Detached,2-Storey,3,2,No
176,2021,Sold 2021-07-21,"€252,465.00",Rivermount,c1916,Yes,No,Bungalow,1-Storey,3,2,Yes
177,2021,Sold 2021-07-21,"€391,642.00",Oak Park,1971,Yes,No,Detached,1-Storey,3,1,YES
178,2021,Sold 2021-07-21,"€556,463.00",Oak Park,1989,No,No,Duplex,2-Storey,5,2,NO
179,2021,Sold 2021-07-22,"€409,721.00",Beacon Hill,c1934,Yes,Yes,Detached,1-Storey,3,3,No
180,2021,Sold 2021-07-22,"€476,162.00",Beacon Hill,c1931,Yes,Yes,Detached,2-Storey,3,1,No
181,2021,Sold 2021-07-22,"€ 257,294",Beacon Hill,1938,Yes,Yes,Bungalow,1-Storey,2,1,Yes
182,2021,Sold 2021-07-23,"€399,624.00",Beacon Hill,1927,Yes,Yes,Detached,2-Storey,3,1,Yes
183,2021,Sold 2021-07-23,"€320,031.00",Rivermount,1937,Yes,No,Detached,1-Storey,3,1,No
184,2021,Sold 2021-07-23,"€314,442.00",Oak Park,1961,Yes,Yes,Detached,1-Storey,3,1,No
185,2021,Sold 2021-07-23,"€445,076.00",Oak Park,1974,Yes,No,Detached,2-Storey,4,2,No
186,2021,Sold 2021-07-23,"€373,067.00",Oak Park,Unknown,Yes,???,Detached,1.5-Storey,3,1,Yes
187,2021,Sold 2021-07-24,"€840,689.00",Brookville,2016,Yes,Yes,Detached,1-Storey,3,2,No
188,2021,Sold 2021-07-24,"€330,331.00",Brookville,2020,Yes,No,Semi-Detached,1-Storey,1,1,No
189,2021,Sold 2021-07-24,"€574,835.00",Avoca,2016,Yes,Yes,Detached,2-Storey,4,2,No
190,2021,Sold 2021-07-25,"€ 429,047",Avoca,2004,Yes,No,Detached,1.5-Storey,3,2,Yes
191,2021,Sold 2021-07-27,"€466,088.00",Avoca,2009,Yes,Yes,Detached,2-Storey,3,2,No
192,2021,Sold 2021-07-27,"€ 477,376",Avoca,2004,Yes,Yes,Detached,1.5-Storey,3,2,No
193,2021,Sold 2021-07-29,"€269,212.00",Summerston,1931,Yes,No,Bungalow,1-Storey,4,1,Yes
194,2021,Sold 29 July 2021,"€213,818.00",Summerston,1932,No,No,Bungalow,1-Storey,2,1,Yes
195,2021,Sold 2021-07-29,"€370,318.00",Oak Park,1979,Yes,Yes,Detached,1-Storey,3,2,No
196,2021,Sold 2021-07-29,"€326,462.00",Summerston,2018,Yes,Yes,End-of-Terrace,2-Storey,3,2,No
197,2021,Sold 2021-07-30,"€346,271.00",Broomhouse,1991,Yes,Yes,Detached,1-Storey,3,1,No
198,2021,Sold 2021-07-30,"€ 340,849",Broomhouse,1975,Yes,Yes,Detached,1-Storey,2,1,No
199,2021,Sold 2021-07-30,"€336,522.00",Broomhouse,1979,Yes,No,Detached,1-Storey,3,1,No
200,2021,Sold 31 July 2021,"€493,974.00",Oak Park,1976,Yes,Yes,Detached,2-Storey,3,2,No
201,2021,Sold 2021-07-31,"€698,360.00",Oak Park,1988,Yes,No,Detached,1-Storey,4,2,No
202,2021,Sold 2021-08-01,"€614,102.00",Brookville,2014,Yes,Yes,Detached,2-Storey,3,2,No
203,2021,Sold 2021-08-01,"€652,428.00",Brookville,2020,Yes,Yes,Detached,1-Storey,2,2,Yes
204,2021,Sold 2021-08-01,"€140,097.00",Rivermount,1939,No,???,Bungalow,1-Storey,4,2,Yes
205,2021,Sold 2021-08-02,"€632,911.00",Avoca,2004,Yes,Yes,Detached,2-Storey,3,2,No
206,2021,Sold 2021-08-02,"€361,474.00",Oak Park,1972,Yes,???,Detached,1-Storey,3,1,No
207,2021,Sold 02 August 2021,"€445,050.00",Avoca,2009,Yes,Yes,Detached,2-Storey,3,2,No
208,2021,Sold 2021-08-02,"€ 239,711",Oak Park,1986,???,???,Bungalow,1-Storey,3,1,Yes
209,2021,Sold 2021-08-02,"€757,089.00",Avoca,2017,Yes,No,Semi-Detached,1-Storey,2,2,No
210,2021,Sold 2021-08-04,"€361,933.00",Rivermount,1992,No,No,Duplex,1.5-Storey,2,1,No
211,2021,Sold 2021-08-05,"€344,992.00",Broomhouse,1983,Yes,Yes,Detached,1-Storey,3,1,Yes
212,2021,Sold 2021-08-05,"€425,198.00",Broomhouse,1972,Yes,Yes,Detached,1-Storey,3,2,No
213,2021,Sold 2021-08-05,"€321,558.00",Broomhouse,1979,Yes,No,Detached,1-Storey,3,1,NO
214,2021,Sold 2021-08-05,"€395,822.00",Broomhouse,1986,???,Yes,Detached,1.5-Storey,4,1,Yes
215,2021,Sold 2021-08-06,"€251,782.00",Rivermount,1897,No,Yes,Bungalow,1-Storey,2,1,Yes
216,2021,Sold 2021-08-07,"€439,631.00",Avoca,2015,Yes,No,Semi-Detached,1-Storey,3,2,No
217,2021,Sold 2021-08-07,"€443,665.00",Avoca,2009,Yes,Yes,Detached,2-Storey,3,2,Yes
218,2021,Sold 2021-08-07,"€475,245.00",Avoca,2010,Yes,Yes,Detached,2-Storey,3,2,Yes
219,2021,Sold 2021-08-14,"€139,997.00",Rivermount,1939,Yes,Yes,Bungalow,1-Storey,4,2,No
220,2021,Sold 2021-08-14,"€290,111.00",Rivermount,1939,Yes,Yes,Bungalow,1-Storey,2,1,Yes
221,2021,Sold 14 August 2021,"€328,211.00",Rivermount,1975,???,Yes,Detached,1-Storey,3,1,No
222,2021,Sold 2021-08-15,"€700,141.00",Porter Square,2012,Yes,No,Detached,1-Storey,3,2,No
223,2021,Sold 2021-08-15,"€844,064.00",Porter Square,2016,Yes,Yes,Detached,1-Storey,3,2,NO
224,2021,Sold 15 August 2021,"€558,942.00",Avoca,2018,Yes,No,End-of-Terrace,1-Storey,2,2,No
225,2021,Sold 2021-08-16,"€359,312.00",Oak Park,Unknown,Yes,Yes,Detached,1-Storey,3,1,No
226,2021,Sold 2021-08-16,"€576,371.00",Oak Park,1977,Yes,No,Detached,1-Storey,2,1,NO
227,2021,Sold 2021-08-17,"€411,116.00",Avoca,2011,Yes,No,Detached,2-Storey,3,2,No
228,2021,Sold 2021-08-17,"€522,891.00",Avoca,2011,Yes,???,Semi-Detached,1-Storey,2,3,No
229,2021,Sold 2021-08-17,"€488,825.00",Avoca,2013,Yes,Yes,Detached,2-Storey,3,2,No
230,2021,Sold 2021-08-18,"€764,657.00",Avoca,2010,Yes,No,Semi-Detached,1-Storey,2,2,NO
231,2021,Sold 2021-08-18,"€ 928,381",Avoca,2016,Yes,No,Detached,1-Storey,3,2,No
232,2021,Sold 2021-08-18,"€493,419.00",Avoca,2003,Yes,No,Detached,2-Storey,3,2,No
233,2021,Sold 2021-08-18,"€473,050.00",Avoca,2005,Yes,Yes,Detached,2-Storey,3,2,No
234,2021,Sold 18 August 2021,"€410,392.00",Avoca,Unknown,Yes,No,Detached,2-Storey,3,2,Yes
235,2021,Sold 2021-08-21,"€804,615.00",Brookville,2020,Yes,Yes,Detached,1-Storey,3,2,Yes
236,2021,Sold 2021-08-21,"€ 316,603",Brookville,2006,Yes,No,Detached,1-Storey,3,1,No
237,2021,Sold 2021-08-25,"€280,426.00",Rivermount,1957,Yes,No,Detached,1-Storey,2,1,No
238,2021,Sold 2021-08-26,"€772,839.00",Porter Square,2019,Yes,Yes,Detached,1-Storey,3,2,No
239,2021,Sold 2021-08-26,"€503,250.00",Broomhouse,1989,Yes,???,Duplex,1-Storey,4,2,No
240,2021,Sold 2021-08-26,"€712,594.00",Porter Square,2019,Yes,Yes,Detached,1-Storey,3,3,Yes
